home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,home_probability,away_probability,home_consensus_prob,away_consensus_prob,home_statistical_edge,away_statistical_edge,home_exp_value,away_exp_value,home_bet_size,away_bet_size,payout
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,fanduel,310,-390,0.22399203583872573,0.7760079641612743,0.20761254503105425,0.7923874549689458,0.8512114346273224,0.9955637254738037,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,draftkings,350,-455,0.20120120120120122,0.7987987987987988,0.20761254503105425,0.7923874549689458,0.9342564526397441,0.9665385439731098,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,betmgm,350,-450,0.202020202020202,0.797979797979798,0.20761254503105425,0.7923874549689458,0.9342564526397441,0.9684735560731561,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,barstool,340,-425,0.20887445887445885,0.7911255411255411,0.20761254503105425,0.7923874549689458,0.9134951981366388,0.9788315620204625,0.0,0.0,0,0,
Charlotte Hornets,Boston Celtics,d7542b1e071f8e6eaf5b8471ff355514,betrivers,350,-455,0.20120120120120122,0.7987987987987988,0.20761254503105425,0.7923874549689458,0.9342564526397441,0.9665385439731098,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,fanduel,280,-350,0.24269005847953212,0.7573099415204678,0.23266864064669895,0.767331359353301,0.884140834457456,0.9865688905971012,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,draftkings,300,-380,0.22916666666666674,0.7708333333333334,0.23266864064669895,0.767331359353301,0.9306745625867958,0.9692606644462749,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,betmgm,290,-375,0.23346828609986503,0.766531713900135,0.23266864064669895,0.767331359353301,0.9074076985221259,0.9719530551808478,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,barstool,300,-380,0.22916666666666674,0.7708333333333334,0.23266864064669895,0.767331359353301,0.9306745625867958,0.9692606644462749,0.0,0.0,0,0,
Detroit Pistons,Denver Nuggets,32b76832c309e3eeaae30ad64fa2a125,betrivers,300,-385,0.22809278350515472,0.7719072164948454,0.23266864064669895,0.767331359353301,0.9306745625867958,0.9666382059385741,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,fanduel,330,-420,0.21243291592128802,0.787567084078712,0.20739480639039423,0.7926051936096058,0.8917976674786952,0.9813207158976072,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,pinnacle,354,-428,0.20482912828727812,0.7951708717127219,0.20739480639039423,0.7926051936096058,0.9415724210123898,0.9777933229576444,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,draftkings,330,-425,0.2115171650055371,0.7884828349944629,0.20739480639039423,0.7926051936096058,0.8917976674786952,0.9791005332824543,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,betmgm,333,-450,0.20638253201763593,0.7936174679823641,0.20739480639039423,0.7926051936096058,0.8980195116704071,0.9687396810784071,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,barstool,340,-425,0.20887445887445885,0.7911255411255411,0.20739480639039423,0.7926051936096058,0.9125371481177347,0.9791005332824543,0.0,0.0,0,0,
Washington Wizards,Milwaukee Bucks,d1f4cb522acf8860b9acd92266187cfa,betrivers,350,-455,0.20120120120120122,0.7987987987987988,0.20739480639039423,0.7926051936096058,0.9332766287567741,0.9668041372600686,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,fanduel,102,-120,0.4747974797479748,0.5252025202520252,0.47478064799066366,0.5252193520093364,0.9590569089411406,0.9629021453504503,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,pinnacle,104,-115,0.47765617875057004,0.52234382124943,0.47478064799066366,0.5252193520093364,0.9685525219009539,0.981931832017455,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,draftkings,100,-120,0.4772727272727273,0.5227272727272727,0.47478064799066366,0.5252193520093364,0.9495612959813273,0.9629021453504503,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,betmgm,100,-120,0.4772727272727273,0.5227272727272727,0.47478064799066366,0.5252193520093364,0.9495612959813273,0.9629021453504503,0.0,0.0,0,0,
Chicago Bulls,Miami Heat,7cd563db5190281d7d17b0c56ef1238c,barstool,105,-125,0.46612466124661245,0.5338753387533876,0.47478064799066366,0.5252193520093364,0.9733003283808604,0.9453948336168057,0.0,0.0,0,0,
