date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-04-05,Boston Celtics,Toronto Raptors,c30ea779a1e4cbe246b9886708dc6f2d,draftkings,-200,170,
2023-04-05,Boston Celtics,Toronto Raptors,c30ea779a1e4cbe246b9886708dc6f2d,caesars,-205,170,
2023-04-05,Milwaukee Bucks,Chicago Bulls,7a69f192e4a5787dd9df4aa5d2ba62c4,fanduel,-300,245,
2023-04-05,Milwaukee Bucks,Chicago Bulls,7a69f192e4a5787dd9df4aa5d2ba62c4,draftkings,-275,230,
2023-04-05,Milwaukee Bucks,Chicago Bulls,7a69f192e4a5787dd9df4aa5d2ba62c4,caesars,-305,240,
2023-04-05,New Orleans Pelicans,Memphis Grizzlies,1fc310013687394d3bd3b33ef5603ae5,fanduel,-220,184,
2023-04-05,New Orleans Pelicans,Memphis Grizzlies,1fc310013687394d3bd3b33ef5603ae5,draftkings,-215,185,
2023-04-05,New Orleans Pelicans,Memphis Grizzlies,1fc310013687394d3bd3b33ef5603ae5,caesars,-210,175,
2023-04-05,Dallas Mavericks,Sacramento Kings,4068e370bbacbc5d7c6e797f8efb903a,fanduel,-240,198,
2023-04-05,Dallas Mavericks,Sacramento Kings,4068e370bbacbc5d7c6e797f8efb903a,draftkings,-230,195,
2023-04-05,Dallas Mavericks,Sacramento Kings,4068e370bbacbc5d7c6e797f8efb903a,caesars,-225,185,
2023-04-05,LA Clippers,Los Angeles Lakers,b0f1b2672fa0fee27eb27c69604efc95,fanduel,-158,134,
2023-04-05,LA Clippers,Los Angeles Lakers,b0f1b2672fa0fee27eb27c69604efc95,draftkings,-150,130,
2023-04-05,LA Clippers,Los Angeles Lakers,b0f1b2672fa0fee27eb27c69604efc95,caesars,-165,140,
2023-04-06,Orlando Magic,Cleveland Cavaliers,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,-310,250,
2023-04-06,Orlando Magic,Cleveland Cavaliers,37c8eb855ee9e97bd3ae8c0e2d1dce0f,draftkings,-300,250,
2023-04-06,Orlando Magic,Cleveland Cavaliers,37c8eb855ee9e97bd3ae8c0e2d1dce0f,caesars,-320,250,
