date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-04-04,Golden State Warriors,Oklahoma City Thunder,8be06eae07b0bdd2efc1d33a7189be0c,fanduel,-350,280,Golden State Warriors
2023-04-04,Phoenix Suns,San Antonio Spurs,1fdef5f2a4f4568e2e1f6288c5949919,fanduel,-2200,1100,Phoenix Suns
2023-04-05,Detroit Pistons,Brooklyn Nets,815a0ba2c6ac504465fbd0f34472a06d,fanduel,370,-480,Brooklyn Nets
2023-04-05,Detroit Pistons,Brooklyn Nets,815a0ba2c6ac504465fbd0f34472a06d,draftkings,400,-500,Brooklyn Nets
2023-04-05,Detroit Pistons,Brooklyn Nets,815a0ba2c6ac504465fbd0f34472a06d,caesars,400,-550,Brooklyn Nets
2023-04-05,Indiana Pacers,New York Knicks,20856586723ae25f4687806c60dcc3de,fanduel,295,-370,New York Knicks
2023-04-05,Indiana Pacers,New York Knicks,20856586723ae25f4687806c60dcc3de,draftkings,300,-365,New York Knicks
2023-04-05,Indiana Pacers,New York Knicks,20856586723ae25f4687806c60dcc3de,caesars,278,-355,New York Knicks
2023-04-05,Atlanta Hawks,Washington Wizards,6d6bd3e7848b2286aba793688df9de0e,fanduel,-590,430,Atlanta Hawks
2023-04-05,Atlanta Hawks,Washington Wizards,6d6bd3e7848b2286aba793688df9de0e,draftkings,-560,430,Atlanta Hawks
2023-04-05,Atlanta Hawks,Washington Wizards,6d6bd3e7848b2286aba793688df9de0e,caesars,-600,430,Atlanta Hawks
2023-04-05,Boston Celtics,Toronto Raptors,c30ea779a1e4cbe246b9886708dc6f2d,fanduel,-205,172,Boston Celtics
2023-04-05,Boston Celtics,Toronto Raptors,c30ea779a1e4cbe246b9886708dc6f2d,draftkings,-200,170,Boston Celtics
2023-04-05,Boston Celtics,Toronto Raptors,c30ea779a1e4cbe246b9886708dc6f2d,caesars,-205,170,Boston Celtics
2023-04-05,Milwaukee Bucks,Chicago Bulls,7a69f192e4a5787dd9df4aa5d2ba62c4,fanduel,-300,245,Milwaukee Bucks
2023-04-05,Milwaukee Bucks,Chicago Bulls,7a69f192e4a5787dd9df4aa5d2ba62c4,draftkings,-275,230,Milwaukee Bucks
2023-04-05,Milwaukee Bucks,Chicago Bulls,7a69f192e4a5787dd9df4aa5d2ba62c4,caesars,-305,240,Milwaukee Bucks
2023-04-05,New Orleans Pelicans,Memphis Grizzlies,1fc310013687394d3bd3b33ef5603ae5,fanduel,-220,184,New Orleans Pelicans
2023-04-05,New Orleans Pelicans,Memphis Grizzlies,1fc310013687394d3bd3b33ef5603ae5,draftkings,-215,185,New Orleans Pelicans
2023-04-05,New Orleans Pelicans,Memphis Grizzlies,1fc310013687394d3bd3b33ef5603ae5,caesars,-210,175,New Orleans Pelicans
2023-04-05,Dallas Mavericks,Sacramento Kings,4068e370bbacbc5d7c6e797f8efb903a,fanduel,-240,198,Dallas Mavericks
2023-04-05,Dallas Mavericks,Sacramento Kings,4068e370bbacbc5d7c6e797f8efb903a,draftkings,-230,195,Dallas Mavericks
2023-04-05,Dallas Mavericks,Sacramento Kings,4068e370bbacbc5d7c6e797f8efb903a,caesars,-225,185,Dallas Mavericks
2023-04-05,LA Clippers,Los Angeles Lakers,b0f1b2672fa0fee27eb27c69604efc95,fanduel,-158,134,LA Clippers
2023-04-05,LA Clippers,Los Angeles Lakers,b0f1b2672fa0fee27eb27c69604efc95,draftkings,-150,130,LA Clippers
2023-04-05,LA Clippers,Los Angeles Lakers,b0f1b2672fa0fee27eb27c69604efc95,caesars,-165,140,LA Clippers
2023-04-06,Orlando Magic,Cleveland Cavaliers,37c8eb855ee9e97bd3ae8c0e2d1dce0f,fanduel,-310,250,Cleveland Cavaliers
2023-04-06,Orlando Magic,Cleveland Cavaliers,37c8eb855ee9e97bd3ae8c0e2d1dce0f,draftkings,-300,250,Cleveland Cavaliers
2023-04-06,Orlando Magic,Cleveland Cavaliers,37c8eb855ee9e97bd3ae8c0e2d1dce0f,caesars,-320,250,Cleveland Cavaliers
2023-04-06,Philadelphia 76ers,Miami Heat,dab2e7fc5323722ebc5b2f3fef161d4f,fanduel,-166,140,Miami Heat
2023-04-06,Philadelphia 76ers,Miami Heat,dab2e7fc5323722ebc5b2f3fef161d4f,draftkings,-170,145,Miami Heat
2023-04-06,Philadelphia 76ers,Miami Heat,dab2e7fc5323722ebc5b2f3fef161d4f,caesars,-178,150,Miami Heat
2023-04-06,San Antonio Spurs,Portland Trail Blazers,e32cebe03996038ae3f304c8a073b0fc,fanduel,-136,116,San Antonio Spurs
2023-04-06,San Antonio Spurs,Portland Trail Blazers,e32cebe03996038ae3f304c8a073b0fc,draftkings,-130,110,San Antonio Spurs
2023-04-06,San Antonio Spurs,Portland Trail Blazers,e32cebe03996038ae3f304c8a073b0fc,caesars,-135,115,San Antonio Spurs
2023-04-06,Utah Jazz,Oklahoma City Thunder,20253dfa3ec6970483a76a6f9864afee,fanduel,225,-275,Oklahoma City Thunder
2023-04-06,Utah Jazz,Oklahoma City Thunder,20253dfa3ec6970483a76a6f9864afee,draftkings,210,-250,Oklahoma City Thunder
2023-04-06,Utah Jazz,Oklahoma City Thunder,20253dfa3ec6970483a76a6f9864afee,caesars,210,-260,Oklahoma City Thunder
2023-04-06,Phoenix Suns,Denver Nuggets,2a6f714f5ad70cb4a21dda68dfd33f91,fanduel,-300,245,Phoenix Suns
2023-04-06,Phoenix Suns,Denver Nuggets,2a6f714f5ad70cb4a21dda68dfd33f91,draftkings,-280,235,Phoenix Suns
2023-04-06,Phoenix Suns,Denver Nuggets,2a6f714f5ad70cb4a21dda68dfd33f91,caesars,-305,240,Phoenix Suns
2023-04-07,Charlotte Hornets,Houston Rockets,0f242a1fdad19b8bbbe719941bf27b89,fanduel,116,-136,Houston Rockets
2023-04-07,Charlotte Hornets,Houston Rockets,0f242a1fdad19b8bbbe719941bf27b89,draftkings,120,-140,Houston Rockets
2023-04-07,Charlotte Hornets,Houston Rockets,0f242a1fdad19b8bbbe719941bf27b89,caesars,118,-140,Houston Rockets
2023-04-07,Indiana Pacers,Detroit Pistons,653a443fe3ec6d0b91978021e7abbd53,fanduel,-290,235,Detroit Pistons
2023-04-07,Indiana Pacers,Detroit Pistons,653a443fe3ec6d0b91978021e7abbd53,draftkings,-275,230,Detroit Pistons
2023-04-07,Indiana Pacers,Detroit Pistons,653a443fe3ec6d0b91978021e7abbd53,caesars,-285,228,Detroit Pistons
2023-04-07,Washington Wizards,Miami Heat,0c4cc1ea3bd6a5aca5ee3a9212f7611e,fanduel,194,-235,Washington Wizards
2023-04-07,Washington Wizards,Miami Heat,0c4cc1ea3bd6a5aca5ee3a9212f7611e,draftkings,185,-215,Washington Wizards
2023-04-07,Washington Wizards,Miami Heat,0c4cc1ea3bd6a5aca5ee3a9212f7611e,caesars,185,-225,Washington Wizards
2023-04-07,Atlanta Hawks,Philadelphia 76ers,f261bda3a4aa9e0db7bc838d1dcc9157,fanduel,-480,370,Philadelphia 76ers
2023-04-07,Atlanta Hawks,Philadelphia 76ers,f261bda3a4aa9e0db7bc838d1dcc9157,draftkings,-425,340,Philadelphia 76ers
2023-04-07,Atlanta Hawks,Philadelphia 76ers,f261bda3a4aa9e0db7bc838d1dcc9157,caesars,-455,345,Philadelphia 76ers
2023-04-07,Boston Celtics,Toronto Raptors,c2bd1ce6c20373dd74104d3a176f0222,fanduel,-138,118,Boston Celtics
2023-04-07,Boston Celtics,Toronto Raptors,c2bd1ce6c20373dd74104d3a176f0222,draftkings,-140,120,Boston Celtics
2023-04-07,Boston Celtics,Toronto Raptors,c2bd1ce6c20373dd74104d3a176f0222,caesars,-135,115,Boston Celtics
2023-04-07,Brooklyn Nets,Orlando Magic,feb8c23807c816a2444b30611390a5eb,fanduel,-720,520,Brooklyn Nets
2023-04-07,Brooklyn Nets,Orlando Magic,feb8c23807c816a2444b30611390a5eb,draftkings,-800,575,Brooklyn Nets
2023-04-07,Brooklyn Nets,Orlando Magic,feb8c23807c816a2444b30611390a5eb,caesars,-800,550,Brooklyn Nets
2023-04-07,Milwaukee Bucks,Memphis Grizzlies,ee92b290096b2652848204c00a2354df,fanduel,225,-275,Memphis Grizzlies
2023-04-07,Milwaukee Bucks,Memphis Grizzlies,ee92b290096b2652848204c00a2354df,draftkings,230,-275,Memphis Grizzlies
2023-04-07,Milwaukee Bucks,Memphis Grizzlies,ee92b290096b2652848204c00a2354df,caesars,240,-305,Memphis Grizzlies
2023-04-07,New Orleans Pelicans,New York Knicks,788ce132cccdaea040c95d0464808ff4,fanduel,-320,260,New Orleans Pelicans
2023-04-07,New Orleans Pelicans,New York Knicks,788ce132cccdaea040c95d0464808ff4,draftkings,-320,265,New Orleans Pelicans
2023-04-07,New Orleans Pelicans,New York Knicks,788ce132cccdaea040c95d0464808ff4,caesars,-345,270,New Orleans Pelicans
2023-04-07,Dallas Mavericks,Chicago Bulls,8757990bb32f12b3c4d209c732cfd820,fanduel,-490,380,Chicago Bulls
2023-04-07,Dallas Mavericks,Chicago Bulls,8757990bb32f12b3c4d209c732cfd820,draftkings,-475,380,Chicago Bulls
2023-04-07,Dallas Mavericks,Chicago Bulls,8757990bb32f12b3c4d209c732cfd820,caesars,-480,360,Chicago Bulls
2023-04-07,Sacramento Kings,Golden State Warriors,a939a597b2d71bb51973febd05cbe64d,fanduel,265,-330,Golden State Warriors
2023-04-07,Sacramento Kings,Golden State Warriors,a939a597b2d71bb51973febd05cbe64d,draftkings,235,-280,Golden State Warriors
2023-04-07,Sacramento Kings,Golden State Warriors,a939a597b2d71bb51973febd05cbe64d,caesars,270,-345,Golden State Warriors
2023-04-07,Los Angeles Lakers,Phoenix Suns,25cde6329053b8107760088193660ecf,fanduel,-350,280,Los Angeles Lakers
2023-04-07,Los Angeles Lakers,Phoenix Suns,25cde6329053b8107760088193660ecf,draftkings,-360,295,Los Angeles Lakers
2023-04-07,Los Angeles Lakers,Phoenix Suns,25cde6329053b8107760088193660ecf,caesars,-355,278,Los Angeles Lakers
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,fanduel,220,-270,Utah Jazz
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,draftkings,230,-275,Utah Jazz
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,caesars,228,-285,Utah Jazz
2023-04-08,Utah Jazz,Denver Nuggets,23735fdf2514d20d05cce280ec28d549,betmgm,210,-275,Utah Jazz
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,fanduel,730,-1150,Minnesota Timberwolves
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,draftkings,700,-1050,Minnesota Timberwolves
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,caesars,800,-1400,Minnesota Timberwolves
2023-04-08,San Antonio Spurs,Minnesota Timberwolves,f3d23a6d32ce474b6b259ed24abaf9a8,betmgm,650,-1000,Minnesota Timberwolves
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,fanduel,-1800,980,LA Clippers
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,draftkings,-1650,950,LA Clippers
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,caesars,-2000,1050,LA Clippers
2023-04-08,LA Clippers,Portland Trail Blazers,b71215b7bfca740f0d6afdf1f923fd3d,betmgm,-2000,1000,LA Clippers
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,fanduel,-275,225,Boston Celtics
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,draftkings,-260,220,Boston Celtics
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,caesars,-278,222,Boston Celtics
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,betmgm,-275,220,Boston Celtics
2023-04-09,Boston Celtics,Atlanta Hawks,5cc5cee7a1b9f4d16a7d0dd273fdb56d,barstool,-250,205,Boston Celtics
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,fanduel,-174,146,Philadelphia 76ers
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,draftkings,-170,145,Philadelphia 76ers
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,caesars,-170,143,Philadelphia 76ers
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,betmgm,-165,140,Philadelphia 76ers
2023-04-09,Brooklyn Nets,Philadelphia 76ers,4a7329206b98e1abd221c86420febf99,barstool,-167,140,Philadelphia 76ers
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,fanduel,-220,184,Charlotte Hornets
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,draftkings,-210,180,Charlotte Hornets
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,caesars,-210,175,Charlotte Hornets
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,betmgm,-200,165,Charlotte Hornets
2023-04-09,Cleveland Cavaliers,Charlotte Hornets,9e23e612052b02a613af4d1f0ff73abb,barstool,-235,190,Charlotte Hornets
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,fanduel,-220,184,Miami Heat
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,draftkings,-200,170,Miami Heat
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,caesars,-225,185,Miami Heat
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,betmgm,-210,170,Miami Heat
2023-04-09,Miami Heat,Orlando Magic,5b798170d54f7879e8d6abedfa21429b,barstool,-205,170,Miami Heat
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,fanduel,-405,320,Indiana Pacers
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,draftkings,-380,310,Indiana Pacers
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,caesars,-355,278,Indiana Pacers
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,betmgm,-375,300,Indiana Pacers
2023-04-09,New York Knicks,Indiana Pacers,72dffda73530d054c05ae325c0a6d330,barstool,-400,320,Indiana Pacers
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,fanduel,-162,136,Toronto Raptors
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,draftkings,-155,135,Toronto Raptors
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,caesars,-165,140,Toronto Raptors
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,betmgm,-165,135,Toronto Raptors
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,barstool,-157,130,Toronto Raptors
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,fanduel,128,-152,Houston Rockets
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,draftkings,125,-145,Houston Rockets
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,caesars,130,-155,Houston Rockets
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,betmgm,120,-145,Houston Rockets
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,barstool,128,-157,Houston Rockets
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,fanduel,-295,240,Chicago Bulls
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,draftkings,-300,250,Chicago Bulls
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,caesars,-320,250,Chicago Bulls
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,betmgm,-300,240,Chicago Bulls
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,barstool,-305,245,Chicago Bulls
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,fanduel,-168,142,San Antonio Spurs
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,draftkings,-170,145,San Antonio Spurs
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,caesars,-170,143,San Antonio Spurs
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,betmgm,-175,145,San Antonio Spurs
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,barstool,-182,148,San Antonio Spurs
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,fanduel,-162,136,Minnesota Timberwolves
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,draftkings,-155,135,Minnesota Timberwolves
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,caesars,-170,143,Minnesota Timberwolves
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,betmgm,-160,135,Minnesota Timberwolves
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,barstool,-167,138,Minnesota Timberwolves
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,fanduel,110,-130,Oklahoma City Thunder
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,draftkings,100,-120,Oklahoma City Thunder
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,caesars,110,-130,Oklahoma City Thunder
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,betmgm,110,-135,Oklahoma City Thunder
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,barstool,106,-129,Oklahoma City Thunder
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,fanduel,120,-142,Denver Nuggets
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,draftkings,130,-150,Denver Nuggets
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,caesars,130,-155,Denver Nuggets
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,betmgm,130,-155,Denver Nuggets
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,barstool,123,-148,Denver Nuggets
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,fanduel,-1600,900,Los Angeles Lakers
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,draftkings,-1650,950,Los Angeles Lakers
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,caesars,-2000,1050,Los Angeles Lakers
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,betmgm,-1600,900,Los Angeles Lakers
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,barstool,-2500,1050,Los Angeles Lakers
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,fanduel,590,-850,LA Clippers
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,draftkings,575,-800,LA Clippers
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,caesars,550,-800,LA Clippers
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,betmgm,600,-900,LA Clippers
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,barstool,510,-770,LA Clippers
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,fanduel,900,-1600,Golden State Warriors
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,draftkings,900,-1500,Golden State Warriors
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,caesars,1050,-2000,Golden State Warriors
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,betmgm,900,-1600,Golden State Warriors
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,barstool,1000,-2000,Golden State Warriors
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,fanduel,-205,172,Atlanta Hawks
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,draftkings,-200,170,Atlanta Hawks
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,caesars,-205,170,Atlanta Hawks
